"";"AB"
"CARLSSON-WALL M, 2016, MANAGE ACCOUNT RES";"THIS PAPER EXAMINES THE ROLE OF PERFORMANCE MEASUREMENT SYSTEMS (PMS) IN MANAGING THE CO-EXISTENCE OF DIFFERENT INSTITUTIONAL LOGICS IN A FOOTBALL ORGANIZATION. WE SHOW THAT WHILE THE SPORTS AND BUSINESS LOGICS AT TIMES COMPETE WITH EACH OTHER, IN OTHER SITUATIONS THEY ARE IN HARMONY. WE EXPLAIN THIS WITH REFERENCE TO AN AMBIGUOUS CAUSE-EFFECT RELATIONSHIP BETWEEN THESE LOGICS WHICH ALLOWS FOR DIFFERENT WAYS OF ENACTING THE LOGICS. OUR STUDY THUS DEMONSTRATES THAT COMPATIBILITY OF LOGICS MAY VARY NOT JUST BETWEEN FIELDS AND ORGANIZATIONS, AS THE LITERATURE HAS EMPHASIZED, BUT ALSO BETWEEN SITUATIONS WITHIN AN ORGANIZATION. FURTHERMORE, OUR PAPER HIGHLIGHTS HOW VARYING OUTCOMES OF THE PERFORMANCE MEASURES AFFECT THE WAY IN WHICH COMPROMISES BETWEEN THE TWO LOGICS ARE MADE. WHILE THE LITERATURE HAS MOSTLY FOCUSED ON EXAMINING HOW COMPROMISES CAN BE DESIGNED INTO THE PMS, WE DRAW ATTENTION TO HOW SITUATION-SPECIFIC COMPROMISES ARE MADE ON THE BASIS OF SUCH PMS. THE MEANING ATTRIBUTED TO DIFFERENT LEVELS OF SPORTS PERFORMANCE WAS KEY FOR UNDERSTANDING THE DIFFERENCES IN COMPROMISING BEHAVIOUR. (C) 2016 ELSEVIER LTD. ALL RIGHTS RESERVED."
"DIMITROPOULOS P, 2016, EUR SPORT MANAG Q";"RESEARCH QUESTION: EUROPEAN FOOTBALL CLUBS ARE KNOWN FOR AN INSTITUTIONALIZED MANAGEMENT CULTURE WHICH PRIORITIZES ON-FIELD SUCCESS OVER FINANCIAL PERFORMANCE. THIS CREATES AN EXTREMELY COMPETITIVE CONTEXT WITHIN WHICH MOST CLUBS OPERATE, PRODUCING DEBTS AND DEFICITS. HOWEVER, IN ORDER TO SECURE CLUBS' LONG-TERM FINANCIAL VIABILITY, UNION OF EUROPEAN FOOTBALL ASSOCIATION (UEFA) HAS INTRODUCED REGULATORY AND MONITORING PROCESSES TIED TO ACCOUNTING DATA IN ORDER TO ASSESS CLUBS' FINANCIAL PERFORMANCE. THIS STUDY AIMS TO DETERMINE WHETHER UEFA'S FRAMEWORK HAS AN IMPACT ON CLUBS' MANAGEMENT POLICIES WITH REGARD TO ACCOUNTING QUALITY.RESEARCH METHODS: THE STUDY EMPLOYS A SAMPLE OF 109 EUROPEAN FOOTBALL CLUBS FOR A SEVEN-YEAR PERIOD, 2008-2014 (THREE YEARS BEFORE AND FOUR YEARS AFTER THE REGULATORY INTERVENTION), TO INVESTIGATE THE IMPACT OF THE REFORM UPON MANAGEMENT PRACTICES RELATED TO ACCOUNTING. FOLLOWING PRIOR LITERATURE, WE EMPLOY THE THREE MOST COMMONLY USED PROXIES OF ACCOUNTING QUALITY: EARNINGS MANAGEMENT, CONDITIONAL ACCOUNTING CONSERVATISM AND AUDITOR SWITCHING.RESULTS AND FINDINGS: THIS STUDY DEMONSTRATES THAT, AT THE EXPENSE OF ACCOUNTING QUALITY, CLUB MANAGEMENT SEEKS TO PROMOTE THE IMAGE OF A FINANCIALLY ROBUST ORGANIZATION IN ORDER TO SECURE LICENSING AND, CONSEQUENTLY, MUCH NEEDED FUNDING FROM UEFA. IN THIS MANNER, THE DOMINANCE OF A MANAGEMENT CULTURE WHICH IMPAIRS FINANCIAL PERFORMANCE IS FURTHER CEMENTED.IMPLICATIONS: UEFA SHOULD TAKE INTO CONSIDERATION THAT, IN A FINANCIALLY DISTRESSED INDUSTRY FOCUSED ON ACHIEVING SUCCESS ON THE FIELD OF PLAY, THE IMPOSITION OF REGULATORY MONITORING TIED TO ACCOUNTING DATA INEVITABLY LEADS TO A LOSS OF ORGANIZATIONAL CREDIBILITY AND TRANSPARENCY. HENCE, UEFA'S INTERVENTION SHOULD BE ACCOMPANIED BY THE IMPOSITION OF A CORPORATE GOVERNANCE FRAMEWORK WHICH WOULD AIM TO REARRANGE CLUB MANAGEMENT PRIORITIES BY FACILITATING A CHANGE IN INSTITUTIONALIZED MENTALITIES."
"KULCZYCKI W, 2016, EUR SPORT MANAG Q";"RESEARCH QUESTION: IF RECIPIENTS OF CORPORATE SOCIAL RESPONSIBILITY (CSR) CAMPAIGNS PERCEIVE THEM TO BE MOTIVATED BY PHILANTHROPIC (VS. PROFIT) REASONS, CSR INCREASES IMPORTANT OUTCOME VARIABLES. THIS STUDY LOOKS AT MODERATORS OF THIS RELATIONSHIP IN THE CONTEXT OF PROFESSIONAL FOOTBALL TEAMS BASED ON ATTRIBUTION AND EGOCENTRISM THEORY: ONE CSR-SPECIFIC FACTOR (I.E. THE GEOGRAPHICAL FOCUS OF CSR) AND ONE ORGANIZATION-SPECIFIC FACTOR (I.E. THE DIVISION IN WHICH THE TEAMS ARE PLAYING).RESEARCH METHODS: THE STUDY APPLIED A BETWEEN-PARTICIPANT DESIGN, MANIPULATING BOTH THE GEOGRAPHICAL FOCUS OF THE INITIATIVE (LOCAL VS. DISTANT CSR INITIATIVE) AND THE PROFESSIONAL FOOTBALL TEAMS THAT CARRIED OUT THE CSR INITIATIVE (FIRST-DIVISION VS. THIRD-DIVISION TEAM). BOTH TEAMS WERE LOCATED IN MUNICH, WHERE 444 CITY RESIDENTS PARTICIPATED IN THE STUDY. REGRESSION-BASED MODERATION ANALYSES WERE USED TO TEST THE HYPOTHESES.RESULTS AND FINDINGS: PERCEIVED PHILANTHROPIC MOTIVATION FOR CSR HAS A MORE POSITIVE EFFECT ON OUTCOME VARIABLES - INCLUDING THE TEAM'S CSR PERCEPTION, ATTITUDES TOWARD THE TEAM, AND BEHAVIORAL INTENTIONS - FOR THE FIRST-DIVISION TEAM THAN FOR THE THIRD-DIVISION TEAM, AND THIS INTERACTION EFFECT IS PRESENT (ABSENT) IN FIRST-DIVISION TEAM'S DISTANT (LOCAL) CSR ACTIVITIES. THE RELATIONSHIP BETWEEN PERCEIVED PHILANTHROPIC MOTIVATION AND OUTCOME VARIABLES IS UNAFFECTED BY THE PROXIMITY OF THE SOCIAL CAUSE SUPPORTED BY THE THIRD-DIVISION TEAM.IMPLICATIONS: PROFESSIONAL FOOTBALL TEAMS ARE ENCOURAGED TO ACTIVELY MANAGE THEIR PORTFOLIO OF CSR ACTIVITIES TO INCREASE CSR OUTCOMES AS PERCEIVED BY CITY RESIDENTS. HIGHER-DIVISION (VS. LOWER-DIVISION) TEAMS SHOULD MAKE SURE THAT CSR IS PERCEIVED TO BE MOTIVATED BY PHILANTHROPY (AS OPPOSED TO SELF-INTEREST), PARTICULARLY WHEN CSR TAKES PLACE AT DISTANT LOCATIONS."
"TERRIEN M, 2016, INT J SPORT FINANC";"THIS PAPER ANALYZES THE IMPACT OF THE FRENCH 75\% INCOME TAX RATE ON THE ATTRACTIVENESS OF THE FRENCH SOCCER LEAGUE. THE CONCERNS ARE LESS ABOUT ITS FINANCIAL IMPLICATIONS FOR CLUBS THAN ABOUT THE POSSIBLE DECREASE IN ITS ATTRACTIVENESS. A CLASSICAL MODEL OF PROFESSIONAL TEAM SPORT LEAGUES IS EMPLOYED TO MEASURE THE NASH EQUILIBRIUM COMPETITIVE BALANCE AND THE STOCK OF TALENT TO ASSESS THE EFFECT OF THE NEW TAXATION. WE THEN PROPOSE TWO HYPOTHESES CORRESPONDING TO SPECIFIC SITUATIONS IN THE FRENCH SOCCER LEAGUE: ``SOCIAL AND FISCAL DISPARITIES BETWEEN CLUBS'' AND ``SUGAR DADDY'' BEHAVIOR. THE NEW MODEL PREDICTS A POLARIZATION OF THE LEAGUE AND AN EXODUS OF TALENT, WHICH COULD BE MITIGATED BY REVENUE SHARING."
"GHOLAMI H, 2016, J CLEAN PROD";"WHILE SUSTAINABILITY IN SPORTS CENTERS HAS RECENTLY BEEN CLARIFIED TO SPEED UP THE SUSTAINABLE SOCIETAL TRANSITIONS UNDER THE BANNER OF ``SPORT FOR SUSTAINABLE DEVELOPMENT'' IT SEEMS RELATIVELY SMALL AND IN NEED OF MOVEMENT TO GENERATE A SIGNIFICANT OUTLOOK. IN PURSUIT OF THIS AIM, THE RESEARCH FOR THIS PAPER WAS BUILT UPON THE DISCUSSION CONCERNING ``GREEN HUMAN RESOURCE MANAGEMENT'' PRACTICES, WHICH EMERGED WITH THE ABILITY-MOTIVATION-OPPORTUNITY THEORETICAL LENS TO EMBED SUSTAINABILITY IN SUCH CENTERS. IT SPECIFIES A SYSTEM OF THE KEY PRACTICES TO IMPLEMENT A CLEANER SUSTAINABILITY STRATEGY WITHIN THE SPORTS CENTER THAT HAS MULTIPLE EFFECTS AT THE MACRO, MESO, AND MICRO LEVELS OF SOCIETY. IN AN ATTEMPT TO ADDRESS THE LACK OF RESEARCH ON SUCH A SYSTEM, A NOVEL MULTI-METHODS APPROACH WAS IMPLEMENTED IN THREE SECTIONS. THE FIRST SECTION LED TO IDENTIFYING AN INITIAL SEVEN-FACTOR STRUCTURE BASED ON FACTOR ANALYSIS OF A PILOT STUDY WITH NINETY-SEVEN RESPONDENTS FROM THE GREEN COMMUNITY OF JOHOR DARUL TA'ZIM FOOTBALL ASSOCIATION. NEXT, INTERPRETIVE STRUCTURAL MODELING WAS PERFORMED USING A SURVEY OF EXPERTS' JUDGMENT TO DEVELOP THE INITIAL STRUCTURE. FINALLY, STRUCTURAL EQUATION MODELING WAS CONSIDERED TO TEST THE DEVELOPED MODEL. UPON VALIDATION OF THE PROPOSED MODEL, THE RESULTS REVEALED A SEVEN-FACTOR INTERPRETIVE STRUCTURAL EQUATION MODEL WITH FOUR LEVELS: ``PERFORMANCE MANAGEMENT'' AND ``PLAYER INVOLVEMENT AND EMPOWERMENT''; ``CULTURE AND SUPPORTIVE CLIMATE'' AND ``PAY AND REWARD SYSTEMS''; ``ATTRACTING AND SELECTING''; AND ``TRAINING AND DEVELOPMENT'' AND ``UNION ROLE IN PLAYER INVOLVEMENT AND ENVIRONMENTAL MANAGEMENT''. THE ANALYSES INDICATED THAT THERE WERE STRONG RELATIONSHIPS BETWEEN THESE KEY PRACTICES THROUGHOUT THE SYSTEM. THE SYSTEM HIGHLIGHTED PRACTICES TOWARD CORRELATING ``PERFORMANCE MANAGEMENT'' AND ``PLAYER INVOLVEMENT AND EMPOWERMENT'' WHICH CONSTITUTE THE FOUNDATION FOR IMPLEMENTING THE SYSTEM. THE RESEARCH FINDINGS HIGHLIGHTED THE IMPORTANCE OF THIS SYSTEM IN MAKING THE TRANSITION TO THE NOTION OF ``SUSTAINABLE CENTER'' IN JOHOR DARUL TA'ZIM, AS WELL AS FOR OTHER SPORTS CENTERS THROUGHOUT MALAYSIA AND OTHER PARTS OF THE WORLD. FUTURE RESEARCH DIRECTIONS ARE ALSO DISCUSSED. (C) 2016 ELSEVIER LTD. ALL RIGHTS RESERVED."
"DAVIES RW, 2016, J SPORTS SCI";"GAELIC FOOTBALL AND HURLING ARE TWO SPORTING CODES WITHIN THE GAELIC ATHLETIC ASSOCIATION. THE PURPOSE OF THIS STUDY WAS TO REPORT THE BODY COMPOSITION PHENOTYPE OF INTER-COUNTY GAELIC ATHLETIC ASSOCIATION PLAYERS, COMPARING GROUPS BY CODE AND FIELD POSITION. 190 SENIOR, MALE, OUTFIELD INTER-COUNTY PLAYERS (144 HURLERS AND 46 GAELIC FOOTBALLERS) WERE RECRUITED. STATURE AND BODY MASS WAS MEASURED, ESTIMATES OF THREE COMPONENTS OF BODY COMPOSITION, I.E. LEAN MASS, FAT MASS AND BONE MINERAL CONTENT WAS OBTAINED BY DUAL ENERGY X-RAY ABSORPTIOMETRY (DXA), AND NORMATIVE DATA FOR GAELIC ATHLETIC ASSOCIATION ATHLETES BY CODE AND POSITION WAS COMPARED. OTHER THAN IN THE MIDFIELD, THERE WAS LIMITED DIFFERENCE IN BODY COMPOSITION BETWEEN CODES OR PLAYING POSITION. STATURE-CORRECTED INDICES NULLIFIED ANY EXISTING GROUP DIFFERENCES BETWEEN MIDFIELDERS FOR BOTH CODES. FURTHER COMPARISONS WITH A NON-ATHLETIC CONTROL GROUP (N=431) SHOWED NO DIFFERENCE FOR BODY MASS INDEX (BMI); HOWEVER, THE ATHLETIC GROUP HAS A LOWER FAT MASS INDEX, WITH A GREATER LEAN MASS IN ACCOUNTING FOR THE MATCHED BMI BETWEEN GROUPS. IN ADDITION TO PROVIDING PREVIOUSLY UNKNOWN NORMATIVE DATA FOR THE GAELIC ATHLETIC ASSOCIATION ATHLETE, A PROPORTIONAL AND INDEPENDENT TISSUE EVALUATION OF BODY COMPOSITION IS GIVEN."
"ROHDE M, 2016, INT J FINANC STUD";"EUROPE'S ELITE FOOTBALL CLUBS ARE A SMALL GROUP OF ABOUT 30 CLUBS MOSTLY ORIGINATING FROM THE BIG FIVE LEAGUES IN ENGLAND, ITALY, SPAIN, GERMANY, AND FRANCE. THESE CLUBS TOP DELOITTE'S FOOTBALL MONEY LEAGUE RANKING EUROPE'S TOP FOOTBALL CLUBS BY REVENUES. THEY ALSO WIN THE VAST MAJORITY OF NATIONAL AND EUROPEAN FOOTBALL COMPETITIONS, AND ACCOUNT FOR THE MAJOR SHARE OF FIFA WORLD CUP APPEARANCES. NEVERTHELESS, EMPIRICAL ANALYSES STUDYING THE ANTECEDENTS OF FINANCIAL SUCCESS OF THIS PECULIAR SAMPLE ARE RARE. THIS PAPER EXTENDS PREVIOUS RESEARCH BY BUILDING AN EMPIRICAL MODEL OF FINANCIAL PERFORMANCE AND APPLYING IT TO A UNIQUE, HIGH-QUALITY DATASET OF THE TOP 30 EU FOOTBALL CLUBS BY CLUB REVENUES ANALYZED OVER TEN CONSECUTIVE SEASONS FROM 2004 TO 2013. FIXED EFFECTS MODELS ARE PERFORMED TO ACCOUNT FOR TIME TRENDS AND CLUB FIXED EFFECTS. THE RESULTS SHOW THAT FINANCIAL SUCCESS IS DRIVEN BY NATIONAL AND INTERNATIONAL SPORTING SUCCESS, AS WELL AS BRAND VALUE; SPORTING SUCCESS IS DRIVEN BY TEAM INVESTMENTS, AND TEAM INVESTMENTS TEND TO BE DRIVEN BY (FOREIGN) PRIVATE MAJORITY INVESTORS."
"ERHARDT N, 2016, J INF KNOWL MANAG";"THIS PAPER AIMS TO IDENTIFY TWO DIFFERENT KNOWLEDGE MANAGEMENT (KM) SYSTEMS AND THEIR UNDERLYING CAPABILITIES BY ACCOUNTING FOR TWO CONTEXTUAL FACTORS: ORGANISATIONAL STRUCTURES AND TYPE OF KNOWLEDGE. SPECIFICALLY, IT SEEKS TO EXPLORE HOW TWO DIFFERENT ORGANISATIONAL STRUCTURES (MECHANISTIC AND ORGANIC) SHAPE THE WAY EXPLICIT AND TACIT KNOWLEDGE IS SHARED, CREATED, AND LEARNED. THE PAPER USES A CASE-BASED APPROACH OF TWO SPORTS TEAMS AS ARCHETYPAL CONTEXTS TO INFORM MANAGEMENT RESEARCH. FINDINGS SUGGEST THAT A MECHANISTIC STRUCTURE (AMERICAN FOOTBALL) EMPHASISES EXPLICIT KNOWLEDGE FOR SHARING OF SPECIFIC DIRECTIVES, CENTRALISED, INCREMENTAL KNOWLEDGE CREATION, AND ORGANISATIONAL LEARNING THROUGH MEMORISATION AND REPETITIOUS ACTIONS. IN AN ORGANIC STRUCTURE (ICE HOCKEY), SHARING OF TACIT KNOWLEDGE, DECENTRALISED NOVEL KNOWLEDGE CREATION, AND ORGANISATIONAL LEARNING THROUGH EMPOWERED EXPERIENTIAL LEARNING EPISODES ARE EMPHASISED. FINDINGS ILLUSTRATE THE IMPORTANCE OF ACCOUNTING FOR ORGANISATIONAL STRUCTURES AND KNOWLEDGE NEEDED FOR DIFFERENT KM SYSTEMS GEARED TOWARDS EFFICIENCY AND ROUTINE WORK, AND FLEXIBILITY AND NON-ROUTINE WORK."
"HERTTING K, 2016, PHYS CULT SPORT STUD RES";"THE OBJECTIVES: THE EUROPEAN COMMISSION HAS HIGHLIGHTED THE USE OF SPORTS AS AN IMPORTANT VENUE FOR ENGAGING CITIZENS IN HEALTH-ENHANCING ACTIVITIES, PHYSICAL ACTIVITY, VOLUNTEERISM AND ACTIVE CITIZENSHIP. COACHING IS A CENTRAL COMPONENT OF SPORTS FOR CHILDREN AND YOUTH, BUT THERE IS LITTLE RESEARCH ON THE PROMOTION OF SPORTS COACHES' HEALTH. IN THE LIGHT OF THIS GAP, THE AIM OF THIS PAPER WAS TO ELUCIDATE YOUTH SOCCER COACHES' VISIONS AND THOUGHTS REGARDING LEADERSHIP SUPPORT FROM CLUBS AND SOCCER ASSOCIATIONS. DESIGN AND METHOD: THE STUDY WAS BASED ON AN ONLINE QUESTIONNAIRE CONDUCTED WITH SWEDISH SOCCER COACHES WHO COACHED CHILDREN AND YOUNG PEOPLE BETWEEN 6 AND 18 YEARS OF AGE. IN TOTAL, 1514 COACHES RECEIVED THE ONLINE QUESTIONNAIRE VIA EMAIL AND 764 COACHES (50.5\% OF THE SAMPLE) ANSWERED. THREE HUNDRED AND SEVENTY-FIVE COACHES ANSWERED THE OPEN QUESTION: `HOW WOULD YOU DESCRIBE THE SUPPORT YOU, AS A COACH, WOULD LIKE TO RECEIVE FROM CLUBS AND ASSOCIATIONS?' RESPONSES WERE ANALYSED USING METHOD. RESULTS: FOUR MAIN THEMES EMERGED FROM THE ANALYSIS: FINANCIAL AND OTHER RESOURCES SUPPORT, RECOGNITION OF CONTRIBUTION, SENSE OF BELONGING TO A VALUE-BASED ASSOCIATION AND POSITIVE COACH DEVELOPMENT. CONCLUSION: WE DISCUSS THE FACTORS THAT SUPPORT SOCCER COACHES AND HOW THESE CAN SERVE AS HEALTH-PROMOTING SUPPORTS FOR COACHES WORKING WITH CHILDREN AND YOUTH."
"CURATOLA G, 2016, FINANC RES LETT";"IT IS WELL KNOWN THAT INVESTOR SENTIMENT AFFECTS AGGREGATE STOCK RETURNS. WE INVESTIGATE THE ECONOMIC LINK BETWEEN SPORT SENTIMENT AND US SECTORAL STOCK RETURNS. WE FIND THAT SPORT SENTIMENT AFFECTS ONLY THE FINANCIAL SECTOR. WE ARGUE THAT THIS RESULT MIGHT BE EXPLAINED BY THE HIGH LIQUIDITY THAT MAKES THE FINANCIAL SECTOR MORE ATTRACTIVE TO FOREIGN INVESTORS WHO IN TURN ARE MORE PRONE TO SPORT SENTIMENT THAN LOCAL INVESTORS IN THE US. ACCORDINGLY, AN ARBITRAGEUR CAN BUILD A PROFITABLE TRADING STRATEGY BY SELLING SHORT THE FINANCIAL SECTOR DURING THE FIFA WORLD CUP PERIODS AND BUYING IT BACK AFTERWARDS. (C) 2016 ELSEVIER INC. ALL RIGHTS RESERVED."
"ROACH M, 2016, J SPORT MANAGE";"SPORTS FRANCHISES OFTEN VALUE PRIOR HEAD COACHING EXPERIENCE AS THEY EVALUATE HEAD COACHING CANDIDATES. THIS PAPER EMPIRICALLY TESTS WHETHER PRIOR HEAD COACHING EXPERIENCE AFFECTS TEAM PERFORMANCE IN THE NATIONAL FOOTBALL LEAGUE. ACCOUNTING FOR INDIVIDUAL COACH EFFECTS AND OTHER RELEVANT FACTORS, I FIND THAT TEAM PERFORMANCE IS SIGNIFICANTLY WORSE BEYOND A GIVEN COACH'S INITIAL HEAD COACHING SPELL. THESE RESULTS HOLD FOR A VARIETY OF OUTCOME MEASURES. WHILE COACHES WITH THE LOWEST LEVELS OF SUCCESS IN THEIR INITIAL HEAD COACHING SPELL HAVE THE MOST PRONOUNCED NEGATIVE EXPERIENCE EFFECTS, SIGNIFICANT NEGATIVE EFFECTS ARE ESTIMATED FOR COACHES AT ALL LEVELS OF INITIAL SUCCESS. ONE EXPLANATION FOR THESE RESULTS IS THAT HUMAN CAPITAL ACQUIRED THROUGH HEAD COACHING EXPERIENCE IS TO A LARGE EXTENT FIRM SPECIFIC, SO WHILE LEARNING DOES OCCUR WITHIN A GIVEN HEAD COACHING JOB, IT DOES NOT CARRY OVER TO FUTURE COACHING SPELLS. THIS CAN LEAD TO AN EROSION OF ANY RELATIVE HUMAN CAPITAL ADVANTAGE."
"TERAMOTO M, 2016, J STRENGTH COND RES";"TERAMOTO, M, CROSS, CL, AND WILLICK, SE. PREDICTIVE VALUE OF NATIONAL FOOTBALL LEAGUE SCOUTING COMBINE ON FUTURE PERFORMANCE OF RUNNING BACKS AND WIDE RECEIVERS. J STRENGTH COND RES 30(5): 1379-1390, 2016THE NATIONAL FOOTBALL LEAGUE (NFL) SCOUTING COMBINE IS HELD EACH YEAR BEFORE THE NFL DRAFT TO MEASURE ATHLETIC ABILITIES AND FOOTBALL SKILLS OF COLLEGE FOOTBALL PLAYERS. ALTHOUGH THE NFL SCOUTING COMBINE CAN PROVIDE THE NFL TEAMS WITH AN OPPORTUNITY TO EVALUATE COLLEGE PLAYERS FOR THE UPCOMING NFL DRAFT, ITS VALUE FOR PREDICTING FUTURE SUCCESS OF PLAYERS HAS BEEN QUESTIONED. THIS STUDY EXAMINED WHETHER THE NFL COMBINE MEASURES CAN PREDICT FUTURE PERFORMANCE OF RUNNING BACKS (RBS) AND WIDE RECEIVERS (WRS) IN THE NFL. WE ANALYZED THE 2000-09 COMBINE DATA OF RBS (N = 276) AND WRS (N = 447) AND THEIR ON-FIELD PERFORMANCE FOR THE FIRST 3 YEARS AFTER THE DRAFT AND OVER THEIR ENTIRE CAREERS IN THE NFL, USING CORRELATION AND REGRESSION ANALYSES, ALONG WITH A PRINCIPAL COMPONENT ANALYSIS (PCA). THE RESULTS OF THE ANALYSES SHOWED THAT, AFTER ACCOUNTING FOR THE NUMBER OF GAMES PLAYED, DRAFT POSITION, HEIGHT (HT), AND WEIGHT (WT), THE TIME ON 10-YARD DASH WAS THE MOST IMPORTANT PREDICTOR OF RUSHING YARDS PER ATTEMPT OF THE FIRST 3 YEARS (P = 0.002) AND OF THE CAREERS (P < 0.001) IN RBS. FOR WRS, VERTICAL JUMP WAS FOUND TO BE SIGNIFICANTLY ASSOCIATED WITH RECEIVING YARDS PER RECEPTION OF THE FIRST 3 YEARS (P = 0.001) AND OF THE CAREERS (P = 0.004) IN THE NFL, AFTER ADJUSTING FOR THE COVARIATES ABOVE. FURTHERMORE, HT WAS MOST IMPORTANT IN PREDICTING FUTURE PERFORMANCE OF WRS. THE ANALYSES ALSO REVEALED THAT THE 8 ATHLETIC DRILLS IN THE COMBINE SEEMED TO HAVE CONSTRUCT VALIDITY. IT SEEMS THAT THE NFL SCOUTING COMBINE HAS SOME VALUE FOR PREDICTING FUTURE PERFORMANCE OF RBS AND WRS IN THE NFL."
"LAGO-PENAS C, 2016, J HUM KINET";"THE AIM OF THE CURRENT STUDY WAS (I) TO IDENTIFY HOW IMPORTANT WAS A GOOD SEASON START IN RELATION TO ELITE HANDBALL TEAMS' PERFORMANCE, AND (II) TO EXAMINE IF THIS IMPACT WAS RELATED TO THE CLUBS' FINANCIAL BUDGET. THE MATCH PERFORMANCES AND ANNUAL BUDGETS OF ALL TEAMS WERE COLLECTED FROM THE SPANISH PROFESSIONAL HANDBALL LEAGUE DURING TEN SEASONS. THE DEPENDENT VARIABLE WAS THE DIFFERENCE BETWEEN THE RANKING OF EACH TEAM IN ACCORDANCE TO THE ANNUAL BUDGET AND THE RANKING OF EACH TEAM AT THE END OF THE SEASON. A K-MEANS CLUSTER ANALYSIS CLASSIFIED THE CLUBS ACCORDING TO THEIR BUDGET AS HIGH RANGE BUDGET CLUBS (HRBC), UPPER-MID RANGE BUDGET CLUBS (UMRBC), LOWER-MID RANGE BUDGET CLUBS (LMRBC) AND LOW RANGE BUDGET CLUBS (LRBC). DATA WERE EXAMINED THROUGH LINEAR REGRESSION MODELS. OVERALL, THE RESULTS SUGGESTED THAT THE BETTER THE TEAM PERFORMANCE AT THE BEGINNING OF THE SEASON, THE BETTER THE RANKING AT THE END OF THE SEASON. EACH POSITION IN THE RANKING ABOVE EXPECTED IN ACCORDANCE TO THE BUDGET OF THE TEAMS IN ROUNDS 3, 4 OR 5 IMPROVED BY 0.47, 0.50 OR 0.49, RESPECTIVELY, IN THE RANKING AT THE END OF THE SEASON (P<0.05). HOWEVER, THE IMPACT OF THE EFFECT DEPENDED ON THE CLUBS' ANNUAL BUDGET. FOR UMRBC, LMRBC AND LRBC A GOOD START TO THE SEASON HAD A POSITIVE EFFECT ON THE FINAL OUTCOME (P<0.05). NEVERTHELESS, FOR HRBC, A GOOD OR A BAD START OF THE SEASON DID NOT EXPLAIN THEIR FINAL POSITION. THESE VARIABLES CAN BE USED TO DEVELOP ACCURATE MODELS TO ESTIMATE FINAL RANKINGS. UMRBC, LMRBC AND LRBC CAN BENEFIT FROM FINE-TUNING PRESEASON PLANNING IN ORDER TO ACCELERATE THE ACQUISITION OF OPTIMAL PERFORMANCES."
"NAIDENOVA I, 2016, EUR SPORT MANAG Q";"RESEARCH QUESTION: THIS PAPER INVESTIGATES HOW FOOTBALL SPONSORSHIP INFLUENCES THE FINANCIAL PERFORMANCE OF SPONSORS. WE SUGGEST A NEW INSTRUMENTAL VARIABLE (IV) TO AVOID ENDOGENEITY. RESEARCH METHODS: WE USE AN IV REGRESSION FRAMEWORK COMBINED WITH A FIXED EFFECTS MODEL. THE NUMBER OF TWEETS CONTAINING BOTH TEAM AND SPONSOR NAMES ARE COLLECTED TO USE AS THE IV. RESULTS AND FINDINGS: WE ANALYZE TOP EUROPEAN LEAGUES. OUR RESULTS SHOW THAT FOOTBALL SPONSORSHIP IS MORE CHARITY THAN COMMERCIAL INVESTMENT. THE ANALYSIS OF DETERMINANTS OF BECOMING A SPONSOR AND SPONSORSHIP AMOUNT SHOWS THAT COMPANIES OWNED BY INDIVIDUALS ARE MORE LIKELY TO BECOME A SPONSOR. IMPLICATIONS: SHAREHOLDERS SHOULD BE AWARE OF SPONSORSHIP DEALS, AND SENIOR MANAGEMENT SHOULD ANALYZE THE FINANCIAL ASSUMPTIONS OF SUCH PROJECTS CAREFULLY."
